eng,deu,eng_google,deu_google
The second comment that I should like to make relates to the particular subject of public deficits.,"Die zweite Bemerkung, die ich machen möchte, betrifft das konkrete Thema der öffentlichen Defizite.",The second comment I would like to make concerns the specific issue of public deficits.,"Die zweite Bemerkung, die ich machen möchte, betrifft speziell das Thema der öffentlichen Defizite."
"During the spring the fresh green covers the meadows, in summer flowers consort with colors the nature, in the warm autumn colors reach a seasonal peak, and the silence of the winter is breathtaking beautiful.","Während im Frühling das frische Grün die Wiesen überzieht, im Sommer sich Blumen in Farben der Natur dazu gesellen, im Herbst warme Farben einen saisonalen Höhepunkt erreichen, ist die Stille des Winters atemraubend schön.","While in spring the fresh green covers the meadows, in summer flowers in the colors of nature join them, in autumn warm colors reach a seasonal peak, the silence of winter is breathtakingly beautiful.","Im Frühling bedeckt das frische Grün die Wiesen, im Sommer vereinen sich Blumen mit den Farben der Natur, im warmen Herbst erreichen die Farben ihren saisonalen Höhepunkt und die Stille des Winters ist atemberaubend schön."
"The aim too is to prevent the illegal manufacture of, and trade in, arms.",Gleichzeitig soll der illegalen Herstellung von und dem Handel mit Waffen vorgebeugt werden.,"At the same time, the illegal manufacture and trade of weapons should be prevented.","Ziel ist es außerdem, die illegale Herstellung und den illegalen Handel mit Waffen zu verhindern."
"It is this dual challenge that the Commission has to take up, by framing in the months ahead a proposal for a general policy statement.",Die Kommission muß sich dieser doppelten Herausforderung stellen und in den kommenden Monaten einen Vorschlag für eine Grundsatzerklärung erarbeiten.,The Commission must face up to this double challenge and prepare a proposal for a declaration of principles in the coming months.,"Dieser doppelten Herausforderung muss sich die Kommission stellen, indem sie in den kommenden Monaten einen Vorschlag für eine allgemeine politische Erklärung erarbeitet."
Set the number of seconds a script is allowed to run.,"Legt die Zeit in Sekunden fest, die ein Script laufen darf.",Specifies the time in seconds that a script is allowed to run.,"Legen Sie die Anzahl der Sekunden fest, die ein Skript ausgeführt werden darf."
"I believe it is also important to point out, as I did in the meeting of the Committee on Economic and Monetary Affairs on 7 January, that the introduction of the euro must be understood as a response, not only of acceptance of the single currency, but also a positive response from the citizens to the processes of European integration and also the processes of economic reform and change.","Wichtig erscheint mir auch der Hinweis, den ich schon am 7. Januar in der Sitzung des Wirtschafts- und Währungsausschusses des Europäischen Parlaments gegeben habe, dass die Einführung des Euro nicht nur als Akzeptanz der Einheitswährung, sondern auch als eine positive Reaktion der Bürger auf die europäischen Integrationsprozesse wie auch auf die Reform- und wirtschaftlichen Umstrukturierungsprozesse verstanden werden muss.","I also consider it important to reiterate the point I made on 7 January at the meeting of the European Parliament&#39;s Economic and Monetary Affairs Committee that the introduction of the euro must be understood not only as acceptance of the single currency, but also as a positive response by citizens to the processes of European integration and to the processes of reform and economic restructuring.","Ich halte es auch für wichtig, darauf hinzuweisen – wie ich es bereits in der Sitzung des Ausschusses für Wirtschaft und Währung am 7. Januar getan habe –, dass die Einführung des Euro nicht nur als Reaktion auf die Akzeptanz der einheitlichen Währung, sondern auch als positive Reaktion der Bürger auf die Prozesse der europäischen Integration sowie auf die Prozesse der wirtschaftlichen Reform und des Wandels verstanden werden muss."
"Such agreements already exist in the case of Kazakhstan, Kyrgyzstan and Uzbekistan.","Solche Abkommen gibt es bereits im Fall von Kasachstan, Kirgisistan und Usbekistan.","Such agreements already exist in the case of Kazakhstan, Kyrgyzstan and Uzbekistan.","Im Falle von Kasachstan, Kirgisistan und Usbekistan gibt es bereits solche Abkommen."
After the sportive activity you can enjoy the various delicacies offered by the on-site caterers and enjoy the summer evening nipping on your exotic cocktail.,Nach der sportlichen Betätigung werden sie von den Gastronomen vor Ort mit Köstlichkeiten aus aller Welt verwöhnt und bei exotischen Cocktails lässt sich der Abend gemütlich ausklingen. Gerne legen wir Ihnen ein Angebot!,"After your workout, you&#39;ll be treated to delicacies from around the world by the on-site restaurants, and the evening can end comfortably with exotic cocktails. We&#39;d be happy to provide you with a quote!",Nach der sportlichen Betätigung können Sie die vielfältigen Köstlichkeiten der hauseigenen Gastronomie genießen und den Sommerabend bei einem exotischen Cocktail ausklingen lassen.
The historical towns of Split and Zadar (airports and harbors) are also nearby.,Die Städte Split und Zadar (Flughäfen und Meereshäfen) sind auch nicht weit entfernt.,The cities of Split and Zadar (airports and seaports) are also not far away.,Die historischen Städte Split und Zadar (Flughäfen und Häfen) liegen ebenfalls in der Nähe.
"Average daytime temperature during the summer months is: air - 27 °С, sea water -24°С.",Die Durchschnittstemperatur am Tag in den Sommermonaten ist: Luft - 27 °C und Meereswasser -24°C.,The average daytime temperature in the summer months is: air -27°C and sea water -24°C.,"Die durchschnittliche Tagestemperatur während der Sommermonate beträgt: Luft – 27 °C, Meerwasser – 24 °C."
"That is why we have a Euratom Safeguards Office (ESO) to work very intensively on ensuring that the quantity of such material available is properly checked and monitored, and to work to ensure that such materials are used only for peaceful purposes.","Dafür gibt es das Euratom Safeguards Office, ESO, das sich sehr intensiv damit beschäftigt, dass die Quantität des vorhandenen Materials entsprechend geprüft und kontrolliert wird, und sich dafür einsetzt, dass das Material nur für friedliche Zwecke verwendet wird.","For this purpose, there is the Euratom Safeguards Office (ESO), which is very intensively involved in ensuring that the quantity of existing material is appropriately checked and controlled and is committed to ensuring that the material is used only for peaceful purposes.","Aus diesem Grund haben wir ein Büro für Euratom-Sicherheitsüberwachung (ESO) eingerichtet, das sich intensiv darum bemüht, sicherzustellen, dass die Menge der verfügbaren Materialien ordnungsgemäß geprüft und überwacht wird, und das darauf hinwirkt, dass diese Materialien nur für friedliche Zwecke verwendet werden."
"On 6 September, 2010, ALTIN has purchased 12'500 of its own shares at an average price of CHF 50.92 per share.",ALTIN hat am 6. September 2010 12 500 Aktien zu einem durchschnittlichen Aktienpreis von CHF 50.92 erworben.,"On September 6, 2010, ALTIN acquired 12,500 shares at an average share price of CHF 50.92.",Am 6. September 2010 hat ALTIN 12.500 eigene Aktien zu einem Durchschnittspreis von CHF 50.92 pro Aktie gekauft.
"Tomasa is not just a curvy model from Chile, but also working as fashion designer. Another series...",Erweitern Sie Ihr Top2Move GPS - Navigationslösung mit digitalen Karten von Ufa.,Expand your Top2Move GPS navigation solution with digital maps from Ufa.,"Tomasa ist nicht nur ein kurviges Model aus Chile, sondern arbeitet auch als Modedesignerin. Eine weitere Serie..."
"One of these is in Rutland, the smallest county in England, where a virtual Rutnet was set up, bringing together people in rural, isolated communities for purposes of leisure, transport, employment and social life generally.","Eins davon gibt es in Rutland, der kleinsten Grafschaft Englands, in der ein virtuelles Rutnet eingerichtet wurde, das Menschen in ländlichen, isolierten Gemeinden zur Freizeitgestaltung, in Fragen des Verkehrs, der Beschäftigung und des allgemeinen gesellschaftlichen Lebens zusammenbringt.","One such example is in Rutland, England&#39;s smallest county, where a virtual Rutnet has been set up to bring people in rural, isolated communities together for leisure activities, transport, employment and general social life.","Eines davon befindet sich in Rutland, der kleinsten Grafschaft Englands, wo ein virtuelles Rutnet eingerichtet wurde, das Menschen aus ländlichen, isolierten Gemeinden zu Freizeit-, Transport-, Arbeits- und Sozialzwecken im Allgemeinen zusammenbringt."
"The whole history of, for example, the United Kingdom, is based on the development of free trade and on prosperity through mutual exchange or multilateral trade.",Die gesamte Geschichte beispielsweise des Vereinigten Königreichs basiert auf dem Ausbau des Freihandels und auf dem Wohlstand durch gegenseitigen Handelsaustausch oder multilateralen Handel.,"The entire history of the United Kingdom, for example, is based on the development of free trade and prosperity through mutual trade or multilateral trade.",Die gesamte Geschichte beispielsweise des Vereinigten Königreichs basiert auf der Entwicklung des Freihandels und des Wohlstands durch gegenseitigen Austausch bzw. multilateralen Handel.
The wine case comes with 6 bottles per case.,Die Weine werden in Kartons zu 6 Flaschen geführt.,The wines are sold in boxes of 6 bottles.,Der Weinkarton enthält jeweils 6 Flaschen.
"Now, I think that, although so few is known about this district, it characterizes accurately the content of this site, because....","Nun, ich glaube, daß, so wenig auch über diesen Landstrich bekannt ist, er doch sehr treffend den Inhalt dieser Seite charakterisiert, denn...","Well, I believe that, although little is known about this region, it very aptly characterizes the content of this page, because...","Obwohl so wenig über diesen Bezirk bekannt ist, denke ich, dass dieser den Inhalt dieser Site genau beschreibt, weil …"
"When persons face the possibility of criminal sanctions, not knowing their HIV status can be their most-effective legal defense.  Prosecutions will act to deter many people—especially men as well as persons living in areas where HIV treatment is largely unavailable—from being tested because it would expose them to the risk of criminal liability.","Wenn Menschen von der Möglichkeit strafrechtlicher Sanktionen bedroht sind, kann die Unkenntnis ihres HIV-Status ihre effektivste rechtliche Verteidigung sein. Die strafrechtliche Verfolgung wird viele Menschen davon abhalten, sich testen zu lassen – insbesondere Männer sowie Personen, die in Gebieten leben, in denen eine HIV-Behandlung allgemein nicht verfügbar ist –, da sie sich so der Gefahr der Strafbarkeit aussetzen würden.","When people are threatened with the possibility of criminal sanctions, ignorance of their HIV status can be their most effective legal defense. Criminal prosecution will deter many people from getting tested—particularly men and those living in areas where HIV treatment is generally unavailable—because doing so would expose them to criminal prosecution.","Wenn Menschen mit möglichen strafrechtlichen Sanktionen konfrontiert sind, kann die Unkenntnis ihres HIV-Status ihre wirksamste Verteidigung sein. Strafverfolgungen schrecken viele Menschen – insbesondere Männer und Menschen in Gebieten, in denen HIV-Behandlungen kaum verfügbar sind – von einem Test ab, da sie sich dadurch dem Risiko einer strafrechtlichen Verantwortlichkeit aussetzen."
Mr Daul has even suggested that the Netherlands might as well leave the European Union.,"Und von Herrn Daul ist sogar angedeutet worden, dass die Niederlande gleichwohl auch die Europäische Union verlassen könnte.",And Mr Daul has even suggested that the Netherlands could leave the European Union.,"Herr Daul hat sogar vorgeschlagen, dass die Niederlande die Europäische Union ebenso gut verlassen könnten."
"It is important right now, however, to emphasise that the EU's prosecuting office must only devote itself to protecting the EU's financial interests, and nothing over and above that.","Schon jetzt muss allerdings betont werden, dass die Staatsanwaltschaft der EU sich nur mit dem Schutz der finanziellen Interessen der EU befassen darf und mit nichts anderem.","However, it must already be emphasized that the EU Public Prosecutor&#39;s Office may only deal with the protection of the EU&#39;s financial interests and nothing else.","Gerade jetzt ist es jedoch wichtig zu betonen, dass sich die EU-Staatsanwaltschaft ausschließlich dem Schutz der finanziellen Interessen der EU widmen darf und nichts darüber hinausgeht."
"We perhaps speak too often, in the area of security and justice, of the criminal dimension.",Wir sprechen im Rahmen des Raumes der Sicherheit und des Rechts vielleicht zu oft von der strafrechtlichen Seite.,"In the context of the area of security and justice, we perhaps too often speak of the criminal law aspect.",Im Bereich Sicherheit und Justiz sprechen wir vielleicht zu oft von der kriminellen Dimension.
Moving on to the substance.,Ich komme nun zur eigentlichen Angelegenheit.,I now come to the actual matter.,Kommen wir zur Substanz.
This id can be available in different certificate formats .,Dieser Ausweis kann in unterschiedlichen Zertifikatsformaten vorliegen.,This ID can be presented in different certificate formats.,Diese ID kann in verschiedenen Zertifikatsformaten verfügbar sein.
"One example I could mention is the Parliament practice whereby the questions we ask in writing are only translated into our mother tongues and the languages of the fifteen old Member States, and the answers received are only given in our mother tongue, English and French.","Ein Beispiel, das ich nennen könnte, ist die Praxis des Parlaments, nach der die Anfragen, die wir schriftlich stellen, nur in unsere Muttersprache und in die Sprachen der 15 alten Mitgliedstaaten übersetzt werden. Die Antworten werden nur in unserer Muttersprache sowie in Englisch und Französisch gegeben.","One example I could cite is Parliament&#39;s practice of translating questions we submit in writing only into our native language and the languages of the 15 existing Member States. Answers are given only in our native language, as well as in English and French.","Als Beispiel könnte ich die Praxis des Parlaments nennen, wonach die von uns schriftlich gestellten Anfragen nur in unsere Muttersprachen und die Sprachen der fünfzehn alten Mitgliedstaaten übersetzt werden und die Antworten nur in unserer Muttersprache sowie in Englisch und Französisch gegeben werden."
"They even confirmed their happiness that the struggles for freedom of ""the Vietnamese and Cambodian peoples have been crowned with victory.""","Beide versicherten sogar, dass sie darüber erfreut seien, dass der Kampf um Freiheit des ,,vietnamesischen und des kambodschanischen Volkes von Erfolg gekrönt worden ist.""",Both even affirmed that they were pleased that the struggle for freedom of the &quot;Vietnamese and Cambodian people has been crowned with success.&quot;,"Sie bekräftigten sogar ihre Freude darüber, dass der Freiheitskampf „des vietnamesischen und kambodschanischen Volkes von einem Sieg gekrönt wurde“."
"Proposing to those countries undergoing transition that they apply measures which are in line with the objectives of this and other programmes, whose aim is to promote an environmentally friendly agricultural industry, therefore seems to me to be eminently sensible.","Deshalb scheint mir so ein Angebot an diese Länder in der Übergangsphase im Sinne dieser Zielsetzung des Programmes und der anderen Programme, die eine umweltgerechte Landwirtschaft fördern wollen, recht sinnvoll zu sein.","Therefore, it seems to me that such an offer to these countries during the transition phase makes a lot of sense in terms of the objectives of the programme and of other programmes that aim to promote environmentally friendly agriculture.","Den Transformationsländern Maßnahmen vorzuschlagen, die mit den Zielen dieses und anderer Programme im Einklang stehen, die auf die Förderung einer umweltfreundlichen Landwirtschaft abzielen, erscheint mir daher äußerst sinnvoll."
Running this the first time new sources are updated will print out some warnings related to the availability of the sources.,Beim ersten Ausführen dieses Befehls mit neuen Quellen werden ein paar Warnungen wegen der Verfügbarkeit der Quellen ausgegeben.,"The first time you run this command with new sources, you will see a few warnings about source availability.","Wenn Sie dies beim ersten Aktualisieren neuer Quellen ausführen, werden einige Warnungen bezüglich der Verfügbarkeit der Quellen ausgegeben."
"In particular, the business partner is not allowed to rent, loan, lease, or sell the product or parts thereof, or in whatever technical procedure, make the product entirely or partly accessible to third parties without the express written consent of AUVICA.","Insbesondere ist der Geschäftspartner nicht berechtigt, das Produkt oder Teile desselben ohne ausdrückliche schriftliche Zustimmung von AUVICA entgeltlich oder unentgeltlich zu vermieten, verleihen, verleasen, veräußern oder in welcher technischen Form auch immer gänzlich oder teilweise Dritten zugänglich zu machen.","In particular, the business partner is not entitled to rent, lend, lease, sell or make the product or parts thereof accessible to third parties in whole or in part, whether for a fee or free of charge, without the express written consent of AUVICA.","Insbesondere ist es dem Geschäftspartner nicht gestattet, das Produkt oder Teile davon ohne ausdrückliche schriftliche Zustimmung von AUVICA zu vermieten, zu verleihen, zu verleasen, zu verkaufen oder das Produkt in irgendeiner technischen Weise ganz oder teilweise Dritten zugänglich zu machen."
This album continues the popular seventies psychedelic electronic rock music - with analog synthesizers.,Drei Sachsen auf der Suche nach Hollywood - 4000 Meilen in einem 74er Cadillac.,Three Saxons in search of Hollywood - 4000 miles in a &#39;74 Cadillac.,Dieses Album setzt die beliebte psychedelische elektronische Rockmusik der Siebziger fort – mit analogen Synthesizern.
"I congratulate the Danish presidency and the Commission on bringing to a successful conclusion ten sets of parallel and very diverse negotiations, bearing in mind that only a couple of weeks ago, it seemed as if we would not do it.","Ich gratuliere dem dänischen Ratsvorsitz und der Kommission zum erfolgreichen Abschluss der parallelen und sehr unterschiedlichen Verhandlungen mit zehn Ländern und erinnere daran, dass dies noch vor einigen Wochen fast unerreichbar erschien.",I congratulate the Danish Presidency and the Commission on the successful conclusion of the parallel and very different negotiations with ten countries and recall that just a few weeks ago this seemed almost unattainable.,"Ich gratuliere der dänischen Präsidentschaft und der Kommission dazu, dass sie zehn parallele und sehr unterschiedliche Verhandlungen zu einem erfolgreichen Abschluss gebracht haben, wenn man bedenkt, dass es noch vor ein paar Wochen so aussah, als ob uns das nicht gelingen würde."
Occupancy up to 4 days 30% surcharge.,30% Aufschlag bei der Belegung bis zu 4 Tage.,30% surcharge for stays up to 4 days.,Bei Belegung bis 4 Tage 30% Aufpreis.
"This has led me to refrain from withdrawing the amendment, which I would prefer us to vote on today.","Deshalb habe ich diesen Antrag auch nicht zurückgezogen, sondern möchte, dass heute darüber abgestimmt wird.","That is why I have not withdrawn this motion, but would like it to be voted on today.","Aus diesem Grund habe ich den Änderungsantrag nicht zurückgezogen und möchte, dass wir heute darüber abstimmen."
There are consequences of these decisions and the timing of those issues is a matter for the governments concerned.,"Aus diesen Entscheidungen ergeben sich Konsequenzen, und die zeitliche Regelung dieser Angelegenheiten liegt bei den jeweiligen Regierungen.","These decisions have consequences, and the timing of these matters is up to the respective governments.",Diese Entscheidungen haben Konsequenzen und der Zeitpunkt dieser Maßnahmen ist Sache der jeweiligen Regierungen.
"An itinerary of churches, often votive, rich in furnishings, statues and wooden altarpieces, merges with the fascinating architecture of villas, such as those in Persereano, Lauzacco, Chiasottis, Risano and Cortello.","Kirchen, häufig kleine Votivkirchen, prächtig ausgestattet mit Statuen und holzgeschnitzten Altären, verschmelzen mit der interessanten Architektur von herrschaftlichen Villen, wie in Persereano, Lauzacco, Chiasottis, Risano und Cortello.","Churches, often small votive churches, magnificently decorated with statues and wood-carved altars, blend with the interesting architecture of stately villas, such as those in Persereano, Lauzacco, Chiasottis, Risano and Cortello.","Ein Rundgang durch Kirchen, oft Votivkirchen, reich an Mobiliar, Statuen und hölzernen Altarbildern, verschmilzt mit der faszinierenden Architektur von Villen wie denen in Persereano, Lauzacco, Chiasottis, Risano und Cortello."
And imported food must be just as safe as food produced in the EU.,Importierte Lebensmittel müssen genauso sicher sein wie in der EU produzierte Nahrungsmittel.,Imported food must be as safe as food produced in the EU.,Und importierte Lebensmittel müssen genauso sicher sein wie in der EU produzierte Lebensmittel.
Member States must cut the cost of labour by reducing taxation that affects wages and salaries - especially low wages. They must also review those aspects of their unemployment benefit systems that dissuade people from returning to the labour market and they must make it less easy for them to take early retirement.,"Die Mitgliedstaaten müssen die Arbeitskosten durch eine Senkung der Beiträge, die insbesondere auf den niedrigsten Löhnen und Gehältern lasten, reduzieren und die Elemente des Arbeitslosengeldes, die von einer Rückkehr auf den Arbeitsmarkt abhalten, verändern.","Member States must reduce labour costs by cutting contributions, which particularly affect the lowest wages, and change the elements of unemployment benefits that discourage return to the labour market.","Die Mitgliedstaaten müssen die Arbeitskosten senken, indem sie die Steuern auf Löhne und Gehälter – insbesondere auf Niedriglöhne – senken. Sie müssen außerdem jene Aspekte ihrer Arbeitslosenunterstützungssysteme überprüfen, die die Menschen von der Rückkehr in den Arbeitsmarkt abhalten, und ihnen den Vorruhestand erschweren."
"This is a very important message, especially for the countries knocking on the EU's door, that they have a clear European future.","Dies ist eine sehr wichtige Botschaft, besonders für die Länder, die an die Tür der EU klopfen, damit sie auf eine klare europäische Zukunft blicken können.","This is a very important message, especially for the countries knocking on the door of the EU so that they can look towards a clear European future.","Dies ist eine sehr wichtige Botschaft, insbesondere für die Länder, die an die Tür der EU klopfen, dass sie eine klare europäische Zukunft haben."
The goods under reservation of ownership may not be resold by the purchaser nor is he permitted to dispose of these goods in any other way without our prior consent.,Zu einer Weiterveräußerung der Vorbehaltsware sowie zu sonstigen Verfügungen über diese ist der Besteller nur mit unserer vorherigen Zustimmung berechtigt.,The purchaser is only entitled to resell the reserved goods or to dispose of them in any other way with our prior consent.,"Der Weiterverkauf der unter Eigentumsvorbehalt stehenden Ware ist dem Käufer ohne unsere vorherige Zustimmung nicht gestattet, noch ist ihm eine sonstige Verfügung über diese Ware gestattet."
"In addition, information posted in a public forum could stay in the public domain indefinitely.",In einem öffentlichen Forum veröffentlichte Informationen können auf unbestimmte Zeit im öffentlichen Bereich bleiben.,Information posted in a public forum may remain in the public domain indefinitely.,Darüber hinaus können in einem öffentlichen Forum veröffentlichte Informationen auf unbestimmte Zeit öffentlich zugänglich bleiben.
"While Dylan and the Hawks met increasingly receptive audiences on tour, their studio efforts floundered.",Ende 1965 heiratete er das Fotomodell Sara Lowndes. Die Hochzeit wurde vor der Öffentlichkeit geheim gehalten.,"At the end of 1965, he married model Sara Lowndes. The wedding was kept secret from the public.","Während Dylan und die Hawks auf ihrer Tournee auf ein zunehmend empfängliches Publikum stießen, scheiterten ihre Studiobemühungen."
"The Tenuta S. Anna reserves the right to edit, complete or partial, of the works of the participants in the label own wine bottles, promotional purposes or for commercial release.","Die Tenuta S. Anna behält sich das Recht zu bearbeiten, ganz oder teilweise, der die Werke der Teilnehmer auf dem Etikett eigenen Weinflaschen, Werbezwecke oder für kommerzielle Version.","Tenuta S. Anna reserves the right to edit, in whole or in part, the works of the participants on the label of their own wine bottles, for advertising purposes or for commercial release.","Die Tenuta S. Anna behält sich das Recht vor, die Werke der Teilnehmer auf dem Etikett ihrer eigenen Weinflaschen zu Werbezwecken oder zur kommerziellen Veröffentlichung ganz oder teilweise zu bearbeiten."
"      Mr President, much as I regret it, I must start by replying to the comments made earlier by Mr Piecyk, who said that anyone who fails the German theory and attitude test known appropriately as the can resort to various tricks to obtain a driving licence in another country such as the Czech Republic.","   Herr Präsident, obwohl ich das nicht gern tue, muss ich zunächst auf Herrn Piecyks Beitrag eingehen, der sagte, dass, wer in Deutschland den medizinisch-psychologischen Test, auch als bekannt, nicht besteht, mit verschiedenen Tricks in einem anderen Land wie der Tschechischen Republik einen Führerschein bekommen kann.","Mr President, although I hate to do so, I must first respond to Mr Piecyk&#39;s statement, which stated that anyone who fails the medical-psychological test, also known as the &#39;driving test&#39;, in Germany can, using various tricks, obtain a driving licence in another country, such as the Czech Republic.","Herr Präsident, so sehr ich es auch bedauere, muss ich zunächst auf die Bemerkungen von Herrn Piecyk eingehen, der vorhin sagte, dass jeder, der die deutsche Theorie- und Verhaltensprüfung, die treffend als „Fahrerlaubnisprüfung“ bezeichnet wird, nicht bestehe, auf verschiedene Tricks zurückgreifen könne, um in einem anderen Land, beispielsweise in der Tschechischen Republik, einen Führerschein zu erhalten."
PC with 300 MHz equivalent or higher processor.,PC mit 300 MHz oder höherer Prozessor.,PC with 300 MHz or higher processor.,PC mit einem Prozessor mit mindestens 300 MHz.
"Mr Lobo Antunes, you tell us that the Presidency has no doubt that its measures are supported by citizens.","Herr Lobo Antunes! Sie sagen, dass der Vorsitz nicht daran zweifelt, dass seine Maßnahmen bei den Bürgern Zustimmung finden.","Mr. Lobo Antunes, you say that the Presidency has no doubt that its measures will be welcomed by the public.","Herr Lobo Antunes, Sie sagen uns, dass die Präsidentschaft keine Zweifel daran hat, dass ihre Maßnahmen von den Bürgern unterstützt werden."
"Daily ferries run to and from Bengkalis, Dumai and Pekanbaru in Sumatra , Indonesia .","Der Busterminal ist der modernste in ganz Malaysia, er hat zwei Terminals.",The bus terminal is the most modern in Malaysia and has two terminals.,"Täglich verkehren Fähren von und nach Bengkalis, Dumai und Pekanbaru auf Sumatra, Indonesien."
A lot of these new technologies are too expensive for ordinary users to get access to.,Viele dieser neuen Technologien sind für den normalen Nutzer zu teuer.,Many of these new technologies are too expensive for the average user.,"Viele dieser neuen Technologien sind für normale Benutzer zu teuer, um darauf zugreifen zu können."
"Once your site is ready to be published you can, thanks to Keonet Free!","Wenn Ihre Website zur Veröffentlichung bereit ist, können Sie sie dank Keonet Free!","When your website is ready to publish, you can use Keonet Free!","Sobald Ihre Site zur Veröffentlichung bereit ist, können Sie dies dank Keonet Free tun!"
Let me close with a word on the threshold values for European tendering.,Lassen Sie mich schließlich noch ein Wort zu den Schwellenwerten für die europäische Ausschreibung sagen.,"Finally, let me say a word about the thresholds for the European tender.",Abschließend noch ein Wort zu den Schwellenwerten für europäische Ausschreibungen.
"The UN has placed a high priority on promoting women at all levels of the Organization and this year, for the first time, UN Women is operating to promote the interests and rights of women all over the world.","Ein wichtiges Anliegen der Vereinten Nationen ist die Förderung von Frauen auf allen Ebenen der Organisation, und erstmalig beginnt dieses Jahr die neue UN-Frauenorganisation “UN-Women” mit ihrer Arbeit zur Unterstützung der Interessen und Reche der Frauen in aller Welt.","An important concern of the United Nations is the promotion of women at all levels of the organization, and for the first time this year the new UN women&#39;s organization &quot;UN Women&quot; begins its work to support the interests and rights of women around the world.","Die UN legt großen Wert auf die Förderung von Frauen auf allen Ebenen der Organisation und in diesem Jahr ist UN Women zum ersten Mal aktiv, um die Interessen und Rechte von Frauen auf der ganzen Welt zu fördern."
I have repeatedly expressed concern about the EU’s growing dependence on energy.,Ich habe wiederholt meine Besorgnis über die wachsende Energieabhängigkeit der EU geäußert.,I have repeatedly expressed my concern about the EU&#39;s growing energy dependence.,Ich habe wiederholt meine Besorgnis über die wachsende Energieabhängigkeit der EU zum Ausdruck gebracht.
"Under the Hughes procedure, our resolution has taken account of the opinions from the Legal Affairs Committee, the Committee on Culture and the Committee on the Environment, Public Health and Consumer Protection.","Aufgrund des angewandten ""Hughes"" -Verfahrens wurden in dem Entschließungsantrag des Ausschusses für Wirtschaft, Währung und Industriepolitik die Stellungnahmen des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherschutz, des Ausschusses für Kultur, Jugend, Bildung und Medien sowie des Ausschusses für Recht und Bürgerrechte berücksichtigt.","Due to the &#39;Hughes&#39; procedure applied, the motion for a resolution by the Committee on Economic and Monetary Affairs and Industrial Policy took into account the opinions of the Committee on the Environment, Public Health and Consumer Protection, the Committee on Culture, Youth, Education and the Media and the Committee on Legal Affairs and Citizens&#39; Rights.","Im Rahmen des Hughes-Verfahrens wurden in unserer Entschließung die Stellungnahmen des Rechtsausschusses, des Kulturausschusses und des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherschutz berücksichtigt."
"Our physical address is Bristol BS9 1JA, Downs Edge, Saville Road, Stoke Bishop.","Unsere körperliche Adresse ist Bristol BS9 1JA, Downs Edge, Saville Road, Stoke Bishop.","Our physical address is Bristol BS9 1JA, Downs Edge, Saville Road, Stoke Bishop.","Unsere Postanschrift lautet Bristol BS9 1JA, Downs Edge, Saville Road, Stoke Bishop."
Mr Liikanen has worked hard on this over the years.,Herr Liikanen hat in all diesen Jahren nachdrücklich dafür gewirkt.,Mr Liikanen has worked hard for this over the years.,Herr Liikanen hat im Laufe der Jahre hart daran gearbeitet.
"A branch to the north of this axis will go, via Curtici and Brasov, to Bucharest and Constanza.",Eine nördliche Route dieser Achse führt via Curtici und Brasov nach Bukarest und Constanza.,A northern route of this axis leads via Curtici and Brasov to Bucharest and Constanza.,Ein Abzweig nördlich dieser Achse führt über Curtici und Brasov nach Bukarest und Constanza.
"HB&RH: Poland is meant to be opening up its markets, but it won't be receiving the same subsidies as eu farmers.","HB&RH: Polen soll seine Märkte öffnen, bekommt aber nicht die gleichen Subventionen wie die Bauern in der eu.","HB&amp;RH: Poland is supposed to open its markets, but does not receive the same subsidies as farmers in the EU.","HB&amp;RH: Polen soll seine Märkte öffnen, wird aber nicht die gleichen Subventionen erhalten wie die Landwirte in der EU."
"Situated in the heart of this popular seaside resort, the hotel is a short walk from the beach and close to all amenities and nightlife.",Metro Inns Newcastle is your premier choice for cheap hotel accommodation whether your travel is for business or holiday.,Metro Inns Newcastle is your premier choice for cheap hotel accommodation whether your travel is for business or holiday.,"Das Hotel liegt im Herzen dieses beliebten Badeortes, nur einen kurzen Spaziergang vom Strand entfernt und in der Nähe aller Annehmlichkeiten und des Nachtlebens."
Nikon Coolpix P90 review : The Nikon P90 is one of the latest mega-zoom cameras from the Coolpix stable.,"Nikon AF-S DX Nikkor 18-200 mm 1:3,5-5,6 G ED VR II Objektiv : Das Nikkor-Superzoom-Objektiv mit Bildstabilisator für DX-Kameras wurde überarbeitet.",Nikon AF-S DX Nikkor 18-200 mm 1:3.5-5.6 G ED VR II lens: The Nikkor superzoom lens with image stabilization for DX cameras has been redesigned.,Testbericht zur Nikon Coolpix P90: Die Nikon P90 ist eine der neuesten Megazoom-Kameras aus dem Hause Coolpix.
"Health is not a general good like other goods, and our welfare systems have the duty to ensure that the most disadvantaged have access to healthcare.","Gesundheit ist keine Ware wie jede andere, und unsere Wohlfahrtssysteme haben die Pflicht, sicherzustellen, dass die am stärksten Benachteiligten Zugang zu Gesundheitsversorgung haben.","Health is not a commodity like any other, and our welfare systems have a duty to ensure that the most disadvantaged have access to healthcare.","Gesundheit ist kein Allgemeingut wie andere Güter, und unsere Sozialsysteme haben die Pflicht, den am stärksten Benachteiligten Zugang zur Gesundheitsversorgung zu gewährleisten."
